Kapasitansi,Mode,Waktu,Tegangan,Arus
100,Charge,0,3.861,19.5
100,Charge,21,6.183,8.4
100,Charge,43,7.087,3.8
100,Charge,63,7.502,2.1
100,Charge,84,7.674,1.3
100,Charge,105,7.796,0.6
100,Discharge,0,4.668,-22.5
100,Discharge,23,1.76,-9.1
100,Discharge,45,0.709,-3.6
100,Discharge,66,0.269,-1.5
100,Discharge,89,0.122,-0.7
100,Discharge,111,0.024,-0.2
220,Charge,0,2.224,24.1
220,Charge,21,3.788,17.7
220,Charge,44,4.814,13.2
220,Charge,65,5.572,9.9
220,Charge,86,6.061,7.8
220,Charge,107,6.452,6.2
220,Charge,128,6.745,4.1
220,Charge,148,6.989,2.7
220,Charge,170,7.16,2.0
220,Charge,190,7.483,1.6
220,Charge,211,7.649,1.0
220,Charge,242,7.649,0.9
220,Charge,263,7.674,0.8
220,Charge,283,7.722,0.8
220,Discharge,0,5.694,-24.9
220,Discharge,24,4.057,-16.7
220,Discharge,47,2.908,-13.2
220,Discharge,69,2.126,-9.4
220,Discharge,92,1.529,-7.1
220,Discharge,113,0.929,-4.0
220,Discharge,135,0.653,-1.3
220,Discharge,157,0.477,-0.9
220,Discharge,179,0.301,-0.7
220,Discharge,200,0.225,-0.6
220,Discharge,223,0.192,-0.5
220,Discharge,244,0.127,-0.4
220,Discharge,266,0.024,-0.3
220,Discharge,288,0.024,-0.3
470,Charge,0,1.173,28.0
470,Charge,21,2.053,23.6
470,Charge,43,2.835,20.8
470,Charge,65,3.495,18.6
470,Charge,87,4.081,16.2
470,Charge,108,4.545,14.0
470,Charge,131,4.961,12.3
470,Charge,152,5.352,10.8
470,Charge,174,5.645,9.5
470,Charge,195,5.938,8.4
470,Charge,216,6.158,7.4
470,Charge,236,6.378,6.7
470,Charge,258,6.5,5.9
470,Charge,278,6.647,4.7
470,Charge,299,6.794,3.5
470,Charge,320,6.916,2.4
470,Charge,341,7.038,1.3
470,Charge,361,7.136,1.0
470,Charge,383,7.185,0.9
470,Charge,403,7.358,0.9
470,Charge,424,7.441,0.8
470,Charge,444,7.58,0.8
470,Charge,466,7.702,0.9
470,Charge,486,7.771,0.9
470,Charge,507,7.82,0.9
470,Charge,528,7.82,0.8
470,Discharge,0,6.72,-29.3
470,Discharge,24,5.718,-24.3
470,Discharge,46,4.839,-20.5
470,Discharge,69,4.13,-15.3
470,Discharge,92,3.519,-11.7
470,Discharge,115,3.03,-8.5
470,Discharge,138,2.59,-6.6
470,Discharge,161,2.199,-5.0
470,Discharge,183,1.906,-4.1
470,Discharge,206,1.393,-3.5
470,Discharge,227,1.1,-2.5
470,Discharge,249,0.9,-1.6
470,Discharge,272,0.771,-1.1
470,Discharge,293,0.671,-0.9
470,Discharge,315,0.498,-0.7
470,Discharge,327,0.373,-0.7
470,Discharge,359,0.204,-0.6
470,Discharge,380,0.173,-0.5
470,Discharge,403,0.049,-0.5
470,Discharge,424,0.049,-0.4
470,Discharge,446,0.049,-0.4
470,Discharge,467,0.073,-0.3
470,Discharge,490,0.024,-0.3
470,Discharge,511,0.024,-0.2
470,Discharge,533,0.024,-0.2
470,Discharge,555,0.024,-0.2
680,Charge,0,1.344,28.7
680,Charge,21,2.077,25.6
680,Charge,41,2.713,23.0
680,Charge,62,3.324,20.6
680,Charge,83,3.812,18.3
680,Charge,104,4.228,16.4
680,Charge,124,4.619,14.7
680,Charge,145,4.936,13.1
680,Charge,166,5.279,11.8
680,Charge,187,5.523,10.6
680,Charge,208,5.767,9.5
680,Charge,227,5.987,8.6
680,Charge,247,6.158,7.8
680,Charge,267,6.354,7.1
680,Charge,287,6.5,6.4
680,Charge,306,6.598,5.9
680,Charge,326,6.696,4.3
680,Charge,346,6.818,3.8
680,Charge,366,6.916,2.5
680,Charge,385,7.014,1.1
680,Charge,406,7.087,1.0
680,Charge,425,7.136,0.9
680,Charge,444,7.209,0.8
680,Charge,465,7.307,0.8
680,Charge,484,7.307,0.8
680,Charge,504,7.356,0.9
680,Charge,523,7.4,0.9
680,Charge,544,7.454,0.9
680,Charge,563,7.578,0.8
680,Charge,583,7.627,0.8
680,Charge,603,7.747,0.9
680,Charge,623,7.796,0.8
680,Charge,642,7.796,0.8
680,Charge,662,7.771,0.8
680,Charge,682,7.771,0.9
680,Charge,702,7.796,0.9
680,Charge,721,7.82,0.9
680,Charge,741,7.82,0.7
680,Charge,761,7.796,0.8
680,Charge,780,7.82,0.8
680,Charge,801,7.82,0.8
680,Discharge,0,6.452,-29.4
680,Discharge,21,5.67,-26.1
680,Discharge,43,5.01,-22.9
680,Discharge,65,4.399,-19.3
680,Discharge,87,3.91,-16.0
680,Discharge,108,3.47,-14.5
680,Discharge,130,3.03,-12.0
680,Discharge,152,2.737,-10.5
680,Discharge,174,2.395,-9.0
680,Discharge,195,2.126,-7.8
680,Discharge,217,1.882,-6.8
680,Discharge,237,1.662,-5.0
680,Discharge,258,1.515,-4.0
680,Discharge,279,1.393,-3.3
680,Discharge,300,1.246,-2.7
680,Discharge,320,1.075,-1.9
680,Discharge,342,0.953,-1.5
680,Discharge,362,0.831,-1.3
680,Discharge,383,0.806,-1.2
680,Discharge,404,0.684,-1.1
680,Discharge,425,0.611,-1.0
680,Discharge,445,0.562,-0.8
680,Discharge,467,0.513,-0.7
680,Discharge,487,0.44,-0.7
680,Discharge,508,0.415,-0.6
680,Discharge,528,0.342,-0.5
680,Discharge,550,0.342,-0.5
680,Discharge,570,0.244,-0.4
680,Discharge,591,0.149,-0.4
680,Discharge,612,0.049,-0.3
680,Discharge,633,0.049,-0.3
680,Discharge,653,0.049,-0.3
680,Discharge,675,0.024,-0.3
680,Discharge,695,0.024,-0.2
680,Discharge,716,0.024,-0.2
680,Discharge,737,0.024,-0.2
680,Discharge,758,0.049,-0.1
680,Discharge,778,0.024,-0.2
1000,Charge,0,0.806,31.0
1000,Charge,20,1.295,28.9
1000,Charge,41,1.76,27.0
1000,Charge,62,2.224,24.6
1000,Charge,83,2.615,23.2
1000,Charge,103,2.981,18.9
1000,Charge,125,3.372,20.1
1000,Charge,145,3.69,18.5
1000,Charge,166,3.983,17.3
1000,Charge,187,4.277,16.0
1000,Charge,208,4.521,15.0
1000,Charge,228,4.741,13.9
1000,Charge,249,4.985,13.0
1000,Charge,270,5.181,12.1
1000,Charge,291,5.327,11.2
1000,Charge,311,5.523,10.5
1000,Charge,333,5.67,9.8
1000,Charge,352,5.841,9.2
1000,Charge,371,5.963,8.6
1000,Charge,392,6.036,8.0
1000,Charge,411,6.183,7.5
1000,Charge,431,6.305,7.1
1000,Charge,450,6.378,6.7
1000,Charge,471,6.5,6.2
1000,Charge,490,6.549,5.9
1000,Charge,510,6.647,5.5
1000,Charge,530,6.696,5.2
1000,Charge,550,6.818,4.9
1000,Charge,569,6.843,4.6
1000,Charge,590,6.916,4.4
1000,Charge,609,6.989,4.1
1000,Charge,629,7.014,3.9
1000,Charge,648,7.087,3.7
1000,Charge,668,7.136,3.5
1000,Charge,688,7.136,3.3
1000,Charge,707,7.209,3.1
1000,Charge,728,7.234,3.0
1000,Charge,747,7.283,2.8
1000,Charge,767,7.331,2.5
1000,Charge,787,7.356,2.2
1000,Charge,807,7.356,2.0
1000,Charge,826,7.405,1.8
1000,Charge,846,7.405,1.2
1000,Charge,866,7.429,1.1
1000,Charge,886,7.454,1.0
1000,Charge,905,7.502,0.9
1000,Charge,925,7.502,0.9
1000,Charge,945,7.551,0.9
1000,Charge,964,7.551,0.9
1000,Charge,984,7.551,0.9
1000,Charge,1004,7.6,0.9
1000,Charge,1024,7.722,0.9
1000,Charge,1043,7.722,0.9
1000,Charge,1064,7.747,0.8
1000,Charge,1083,7.722,0.9
1000,Charge,1103,7.747,0.9
1000,Charge,1123,7.82,0.8
1000,Charge,1143,7.82,0.8
1000,Charge,1162,7.82,0.7
1000,Charge,1181,7.82,0.8
1000,Charge,1202,7.82,0.7
1000,Discharge,0,6.672,-30.4
1000,Discharge,21,6.134,-27.9
1000,Discharge,43,5.645,-25.8
1000,Discharge,65,5.181,-23.8
1000,Discharge,87,4.79,-22.0
1000,Discharge,108,4.423,-20.2
1000,Discharge,131,4.057,-18.7
1000,Discharge,152,3.763,-17.4
1000,Discharge,174,3.495,-16.0
1000,Discharge,196,3.226,-14.7
1000,Discharge,218,2.933,-13.7
1000,Discharge,239,2.713,-12.6
1000,Discharge,262,2.517,-11.6
1000,Discharge,284,2.297,-10.8
1000,Discharge,305,2.151,-10.0
1000,Discharge,328,2.004,-9.2
1000,Discharge,348,1.857,-8.6
1000,Discharge,369,1.735,-7.9
1000,Discharge,390,1.564,-7.3
1000,Discharge,410,1.466,-6.9
1000,Discharge,431,1.344,-6.4
1000,Discharge,452,1.295,-6.0
1000,Discharge,473,1.149,-5.5
1000,Discharge,493,1.075,-5.1
1000,Discharge,514,1.026,-4.8
1000,Discharge,535,0.953,-4.4
1000,Discharge,556,0.88,-4.1
1000,Discharge,576,0.806,-3.8
1000,Discharge,598,0.709,-3.6
1000,Discharge,618,0.684,-3.4
1000,Discharge,639,0.635,-3.1
1000,Discharge,660,0.587,-2.9
1000,Discharge,681,0.587,-2.6
1000,Discharge,701,0.489,-2.5
1000,Discharge,723,0.464,-2.3
1000,Discharge,743,0.489,-2.2
1000,Discharge,764,0.391,-2.0
1000,Discharge,785,0.367,-1.8
1000,Discharge,806,0.342,-1.6
1000,Discharge,826,0.318,-1.4
1000,Discharge,847,0.269,-1.3
1000,Discharge,868,0.171,-1.2
1000,Discharge,889,0.147,-1.1
1000,Discharge,909,0.098,-0.9
1000,Discharge,931,0.098,-0.8
1000,Discharge,951,0.073,-0.7
1000,Discharge,972,0.049,-0.5
1000,Discharge,993,0.049,-0.4
1000,Discharge,1014,0.049,-0.4
1000,Discharge,1034,0.024,-0.4
1000,Discharge,1056,0.049,-0.5
1000,Discharge,1076,0.024,-0.3
1000,Discharge,1097,0.024,-0.2
1000,Discharge,1118,0.024,-0.2
